taxYear,stateAbbrev,postcode,nIndividuals,nIndividualsWithTaxableIncomeOrLoss,taxableIncomeOrLossDollars,nIndividualsWithTaxOnTaxableIncome,,nIndividualsWithNetTax,,nIndividualsWithHelpDebt,,nIndividualsWithSalaryOrWages,salaryOrWagesDollars,nIndividualsWithTaxWithheldFromSalaryOrWages,,nIndividualsWithAustralianGovernmentAllowancesAndPayments,australianGovernmentAllowancesAndPaymentsDollars,nIndividualsWithAustralianGovernmentPensionsAndAllowances,australianGovernmentPensionsAndAllowancesDollars,nindividualsWithSuperIncomeTaxed,superIncomeTaxedDollars,nIndividualsWithSuperIncomeUntaxed,superIncomeUntaxedDollars,nIndividualsWithTotalIncomeOrLoss3,totalIncomeOrLoss3Dollars,nIndividualsWithWorkRelatedSelfEducationExpenses,workRelatedSelfEducationExpensesDollars,nIndividualsWithGiftsOrDonations,giftsOrDonationsDollars,nIndividualsWithTotalDeductions3,totalDeductions3Dollars,nIndividualsWithEmployerSuperannuationContributions,employerSuperannuationContributionsDollars,nIndividualsWithGrossRent,grossRentDollars,nIndividualsWithNetRentProfit,netRentProfitDollars,nIndividualsWithNetRentLoss,netRentLossDollars,nIndividualsWithLowAndMiddleIncomeTaxOffset,,nIndividualsWithPrivateHealthInsurance,nIndividualsWithPrivateHealthInsuranceAustGovRebateReceived,privateHealthInsuranceAustGovRebateReceivedDollars
2017/2018,NSW,2880,8815,8765,490950025,7524,98944288,6932,103298301,358,1421168,7430,427172712,7307,105122669,919,6103675,566,7122326,65,711563,49,1118446,8768,509212001,369,793361,1922,642224,7176,17992448,956,6589850,1096,16572679,516,2960447,593,-3883610,4440,1411882,4877,4147,2777067
2017/2018,NSW,2898,299,296,17211184,260,3640582,234,3515145,4,16744,243,11062185,233,2449978,11,59820,19,240163,4,80738,2,68253,297,17571717,2,2555,57,49407,220,346111,54,235750,50,1267220,38,640627,12,-59066,176,56047,163,141,99638
2017/2018,NSW,2899,1159,1142,47745101,974,8060535,818,7380219,13,37431,873,37299951,827,7495365,44,245067,100,1228225,0,0,14,612053,1155,50570056,21,25982,115,49525,806,1977774,88,477757,188,3328791,107,1046790,84,-510115,773,257673,516,470,324353
2017/2018,NSW,,3878,3822,271960249,3154,70512516,2903,72956632,129,544030,2778,187667027,2686,49874253,208,1395303,164,1896063,30,546875,58,2051739,3833,285537799,100,245102,1135,2623755,2943,13025796,309,2636875,795,22631877,352,4282726,450,-4925978,1721,531973,2040,1800,1202804
2017/2018,NT,800,5168,5125,387549784,4633,98059259,4475,101058798,281,1322132,4777,365095818,4749,104018530,171,1139941,47,443446,18,196819,78,3427283,5128,400341565,359,971658,1544,476274,4122,12523218,427,2768819,732,18139881,183,1350862,557,-6618974,2141,639095,2111,1595,677123
2017/2018,NT,801,606,603,55508478,540,14993462,517,15555567,18,78750,479,41532519,469,11862197,24,168587,14,144727,2,4500,27,1581672,605,57396199,18,44783,207,94785,509,1814654,77,705929,219,6415069,61,891007,158,-1830985,204,60497,468,396,200249
2017/2018,NT,804,153,152,12234209,136,3020313,128,3154175,6,25113,127,10953284,126,3238282,2,8791,5,25878,1,6701,8,280978,153,12713995,7,14748,48,21269,130,458889,26,224326,67,2571546,15,271199,52,-742859,60,17186,119,96,46749
2017/2018,NT,810,21449,21303,1419855839,18517,321183345,17484,331289352,1139,5084314,18675,1268607144,18431,334088762,1152,6923723,600,6685843,109,1396634,566,20458694,21317,1474178763,1355,3311271,7298,3272259,17656,53275414,1892,13471192,4184,96199854,1236,10202627,2990,-31295209,9615,2826342,11884,9804,4550200
2017/2018,NT,811,329,328,27511824,287,7107037,263,7266903,17,86488,251,23034179,246,6832250,11,66907,19,178121,3,64076,23,774038,329,28508351,9,60646,124,51018,282,992763,45,372123,101,3144086,42,362751,60,-796096,111,32917,240,202,108412
2017/2018,NT,812,11170,11098,721869858,9795,157687974,9226,162943710,401,1629408,9797,661170719,9678,170425128,697,4509094,418,4582216,72,860476,367,13013533,11111,747188814,470,896744,4193,1294108,9437,24733677,1096,7756066,2250,47090674,639,4670460,1626,-16144277,5114,1469436,6612,5482,2609294
2017/2018,NT,813,93,92,6204939,83,1364358,76,1418799,3,13899,69,5485065,69,1495518,2,12777,4,54491,1,1040,5,152305,93,6394182,1,180,30,5210,83,172746,16,115169,39,1001368,17,152210,22,-230665,37,11430,65,59,29378
2017/2018,NT,814,168,168,13225069,153,3213334,149,3329996,6,25057,129,10610599,128,3015671,7,59326,4,42554,1,18755,8,445264,168,13824219,7,26780,70,40851,146,564923,21,167641,67,1860906,33,200041,34,-368879,68,20729,128,110,53843
2017/2018,NT,820,13186,13107,1067369273,11764,270926150,11271,281849954,942,4298772,11690,900474787,11541,251173810,500,3042243,270,3004553,68,941476,314,13040717,13125,1108062276,875,2039110,4391,1970784,11133,37765719,1362,10605337,3025,75542230,984,10258150,2059,-23210960,5298,1505403,8042,6411,2949958
2017/2018,NT,821,453,453,35185348,393,8831094,366,9047237,12,48377,337,25683204,331,6894243,14,90075,18,261661,2,1121,21,691350,453,36703070,10,21397,148,72760,373,1242356,57,539427,169,3856044,58,658036,112,-1016179,175,46389,313,267,132687
2017/2018,NT,822,6279,6243,302528592,5087,56746264,4256,55825230,180,687605,5707,265593769,5627,62376025,1776,14470815,281,3613889,24,155572,50,1877213,6252,311764939,151,259131,1160,330600,4643,8664813,319,1837586,624,11591916,206,1275183,436,-3813544,3263,1095104,1692,1372,622999
2017/2018,NT,828,726,718,51417165,644,12677918,613,13144461,15,64173,621,39614688,611,10128926,39,231872,16,148559,3,31015,12,454268,722,53180429,31,67541,224,50404,612,1632160,51,357477,143,4090417,61,821073,83,-796616,336,94284,412,328,155532
2017/2018,NT,829,345,345,21513713,330,4306094,324,4299254,28,85915,330,20886719,329,4536454,11,45516,3,12684,1,60,3,120501,345,22688426,17,30841,129,35741,321,1137758,16,153670,28,584402,8,35063,20,-276200,202,41026,66,45,22157
2017/2018,NT,830,11232,11158,760609280,9949,169744463,9434,175919557,452,1772722,10295,713661321,10167,186064810,829,5217326,398,4790372,60,584941,180,5824394,11170,788289353,547,922736,4390,1199430,9700,27154637,845,4814656,1926,34828577,382,2172118,1571,-15438663,4935,1387197,5990,4834,2143937
2017/2018,NT,831,784,783,59497576,717,13906298,692,14473629,25,73795,677,54862971,670,14985919,23,122925,22,233932,10,169090,23,878990,783,61383258,32,60078,277,67984,715,1866955,96,648798,219,4394292,56,343496,165,-1857055,301,82592,542,449,218575
2017/2018,NT,832,10529,10466,761433136,9490,174585001,9134,181757556,509,2076323,9918,747036274,9829,199886595,449,2398722,287,3202676,49,335565,124,3708001,10474,790326826,646,1288888,4323,1129017,9323,28572418,743,3770766,1715,30055436,264,1129533,1465,-13905464,4409,1208717,5951,4847,2076558
2017/2018,NT,834,511,507,35261689,437,8069590,421,8409077,21,77617,435,30154196,430,7867378,24,134758,13,137967,5,42915,12,339347,507,36627016,25,29520,154,38322,424,1352228,47,359030,102,2615310,38,323435,66,-646574,203,56318,342,254,118730
2017/2018,NT,835,3052,3041,222346230,2693,52198779,2539,54195155,72,268037,2559,194653919,2517,53050832,117,635067,78,765372,21,239863,92,3534113,3042,230491793,120,171810,981,298541,2563,7838957,326,2243374,776,17722452,206,1521998,578,-7135868,1272,366610,2056,1665,793209
2017/2018,NT,836,4947,4905,351878630,4362,81308428,4117,84141247,121,459099,4242,316975383,4179,85713165,235,1449097,147,1697629,31,325183,99,3428549,4913,364661923,164,227760,1693,416158,4151,12314235,500,2883211,1046,20185369,271,2314124,784,-8480407,2073,597418,3077,2525,1159129
2017/2018,NT,837,536,530,32797058,445,7278301,412,7325073,8,28058,399,26657256,394,6866886,28,181180,33,323333,5,51180,14,479215,532,34173674,13,11377,155,48253,419,1244695,36,242542,97,1709369,43,312630,55,-580742,237,73705,291,243,127685
2017/2018,NT,838,524,519,35545118,457,8054357,442,8380688,17,68308,468,33324097,464,9124072,43,268952,11,108875,7,83250,9,477606,521,36889707,26,47355,177,45925,444,1263768,51,330368,99,1408319,26,150666,74,-508148,215,63662,315,256,115045
2017/2018,NT,839,773,768,54903466,708,12523725,666,12992356,31,96044,704,52792030,699,14379554,32,99715,33,369672,4,17321,11,356344,768,57040923,37,52504,261,58886,692,2120502,88,516596,130,2344673,36,230035,99,-932551,347,98575,429,347,154323
2017/2018,NT,840,173,171,8941112,131,1846992,117,1839551,2,7111,119,7135028,117,1879617,21,143268,13,150988,1,39265,5,157621,172,9236985,9,16450,37,15067,121,279988,10,41214,37,770797,16,94898,21,-250610,66,20905,88,80,36511
2017/2018,NT,841,333,330,22686342,289,5200101,265,5288709,16,45275,298,21449624,297,5914705,25,173959,14,175559,1,22425,2,64171,331,23457209,17,23055,116,34715,278,766744,27,188018,50,923385,17,96517,33,-348019,143,39243,169,123,48914
2017/2018,NT,845,330,327,17641186,271,3549607,246,3559365,7,31356,263,15810388,257,3928124,30,224565,23,305412,1,6181,10,313643,328,18322729,9,13311,102,29219,263,643249,26,133442,49,1064067,24,162086,26,-202606,149,46377,147,119,63662
2017/2018,NT,846,214,210,11147337,176,2326386,164,2375092,2,5341,181,9506796,179,2272377,15,97021,17,186670,4,58196,10,304122,214,11690041,5,11175,47,13317,169,381622,4,23985,36,653544,11,127120,25,-135126,116,34824,97,76,38094
2017/2018,NT,847,158,156,6336995,122,1054890,107,1076174,1,1183,118,5194362,117,1199332,29,195213,8,118515,0,0,2,35648,157,6624121,3,5701,29,10987,107,169973,6,27432,22,449600,10,115933,12,-46577,83,27371,55,47,25993
2017/2018,NT,850,4010,3984,235067077,3492,48562124,3273,50338457,212,835586,3628,213858328,3582,52584106,350,2574826,132,1622510,24,155098,66,1964804,3990,243268249,197,378800,972,366944,3232,7777095,332,2067304,653,12464346,263,1789049,396,-3306456,1928,551291,1829,1469,656894
2017/2018,NT,851,966,948,59958161,856,12897101,804,13385686,30,125605,799,52472633,786,13226280,37,267454,32,379858,2,17103,17,601875,955,63086055,33,46785,174,339733,786,2628982,91,745333,201,3671423,84,554678,118,-785228,454,128453,567,475,239006
2017/2018,NT,852,1904,1893,77153484,1520,12712658,1259,12171801,46,229811,1757,69549603,1735,15007828,615,5431309,107,1415166,4,19790,8,232079,1898,80892999,34,60015,245,114819,1419,2498030,66,426137,128,2120378,44,357816,87,-579660,1052,355077,383,294,138806
2017/2018,NT,853,535,529,37223560,483,8130546,474,8150552,50,177709,517,38337481,516,9363403,7,23000,0,0,4,13517,6,125910,530,38818916,47,78749,218,59963,487,1595210,25,85853,140,2543245,48,132543,94,-851614,153,40543,170,136,78149
2017/2018,NT,854,442,436,19957101,368,3406449,316,3183327,14,64243,392,17098730,387,3895730,131,1191181,25,321496,4,95163,4,87377,437,20455576,3,7588,61,19290,324,483425,20,90039,21,285747,10,98599,11,-46899,246,81526,98,74,35505
2017/2018,NT,860,989,983,58627492,868,11979116,820,11966627,44,222006,914,57096957,907,14351872,106,713396,40,468533,4,50570,11,319859,986,61607086,60,144349,278,136339,822,2884291,58,336623,148,2566175,61,373792,89,-583548,479,137209,303,266,119427
2017/2018,NT,861,616,613,35267364,533,7028571,489,6968182,23,79817,575,33408611,569,8222415,127,854748,19,232176,6,20311,6,298274,613,36974388,41,80533,144,52154,526,1706758,34,178893,82,1446721,16,85164,68,-388356,307,90787,177,149,70429
2017/2018,NT,862,267,266,11797511,227,2060057,199,1962313,11,42204,244,10720406,240,2337323,64,550536,13,158120,0,0,2,61827,266,12422324,4,1586,43,20836,204,621935,3,31734,21,361768,8,28326,13,-86182,163,50720,61,51,24035
2017/2018,NT,870,14293,14194,900654833,12761,193071033,12106,200529362,857,3684250,13061,828735117,12913,210209993,1022,6732388,402,4774810,70,555078,182,6486696,14209,937190778,999,2316885,4426,2381676,12039,36088682,1413,11054240,2600,49843182,1013,6925225,1606,-11681153,6987,2029142,6592,5354,2346171
2017/2018,NT,871,1452,1445,99327679,1315,22676621,1232,23452499,85,346269,1271,84098054,1260,21396476,103,733129,61,739365,11,78434,29,873363,1447,103313910,65,174543,404,327242,1261,3917199,187,1483726,348,6394486,156,1005365,196,-1353149,696,202367,693,609,275428
2017/2018,NT,872,4066,4029,178885298,3307,30674653,2817,29697972,142,641540,3809,157014461,3744,34317281,1347,12222029,206,2706340,2,11623,14,355613,4032,184009850,127,188874,579,222758,2869,5061529,200,1893440,298,5285034,106,574423,194,-1312261,2309,742532,770,642,292678
2017/2018,NT,873,261,258,16929391,226,4091907,209,4176981,20,82035,238,14102491,234,3439038,20,133201,13,122121,3,40793,4,173797,259,17583643,23,35199,73,42664,203,654252,21,153152,49,680504,21,103418,28,-120125,127,34627,133,105,46633
2017/2018,NT,874,102,101,7243480,90,1639289,89,1746563,15,63875,99,7226032,97,1921531,4,17222,2,23350,0,0,0,0,101,7506128,15,52750,26,29806,81,262648,13,60794,18,303928,4,19621,14,-98537,38,10154,58,41,16068
2017/2018,NT,875,468,463,25822849,390,5162038,359,5418336,27,104544,428,24744170,420,6130988,57,386784,25,350251,4,52590,4,136308,464,26643259,23,41764,107,109345,329,806906,33,232874,40,764545,14,78364,27,-224926,217,63036,174,140,58464
2017/2018,NT,880,936,929,57242196,746,12765939,679,12997943,48,253629,865,54488828,851,14732073,131,1061079,21,279040,2,23127,3,63507,931,59412265,62,182914,227,249942,719,2133448,127,846679,227,4357847,73,421298,165,-1437374,375,120529,415,316,141133
2017/2018,NT,881,1685,1682,113805136,1466,25487929,1369,25599858,78,318990,1600,115121466,1588,31174998,123,879535,24,276864,4,55949,5,146698,1683,119396416,219,437067,596,349672,1487,5463383,230,1360160,543,9757681,130,876823,426,-4233640,700,211885,896,767,345878
2017/2018,NT,885,528,523,45554090,475,11474698,455,11723207,24,97501,508,44733401,503,12901420,43,311650,8,82099,3,19124,2,47453,526,46956823,25,67292,134,87011,463,1374788,139,1251939,197,4069871,49,304497,149,-1393248,164,51144,316,238,104819
2017/2018,NT,886,751,748,48716152,638,10767751,595,10817396,28,106651,732,47963155,725,12663838,81,759589,10,139529,5,35255,4,142636,749,50240298,28,43796,201,59223,653,1440103,144,498020,151,2695396,29,99799,123,-1087208,310,90466,387,317,148550
2017/2018,NT,,236,236,14331379,207,2991661,191,3095480,11,45504,209,13846669,208,3550940,15,89180,15,185067,2,39076,4,248864,236,15177144,17,33958,73,123459,205,827613,18,117628,42,934750,22,101624,20,-280170,99,29129,105,92,46185
2017/2018,Overseas,,151090,126128,4294242525,83248,1365424898,80066,1335823763,1388,7093093,57463,2859299850,56196,915600667,897,3966006,554,5878683,396,4505007,1007,32077950,128830,4523629577,1568,3722853,8564,24444044,66154,129818935,3918,18641526,62776,1755426903,34531,351334092,28454,-286564705,22548,8155347,22489,14229,5651224
2017/2018,QLD,4000,13233,13014,840520131,10327,214017899,9723,222665380,732,3499788,10979,630968985,10660,170364548,634,4048962,137,1457432,49,812311,83,3240979,13034,874998490,538,1513227,2525,3560784,8527,33371520,1400,9715050,1683,49108695,699,6875768,999,-12278799,5683,1891685,5896,4502,2964011
2017/2018,QLD,4001,501,485,39731557,400,11347921,367,11878781,20,110126,334,23102609,318,6542906,14,95806,16,169438,2,31,7,160461,490,43016021,19,58353,105,117708,343,3009195,76,657068,116,3247696,61,689379,57,-437325,155,48665,305,231,181691
2017/2018,QLD,4002,54,53,3788502,44,915200,39,968807,1,6564,41,3159376,40,847273,3,23416,1,18820,0,0,1,3523,54,3890020,2,3460,10,2439,40,93920,10,76944,10,264790,0,0,10,-131225,18,5649,31,31,22662
2017/2018,QLD,4004,126,123,8351033,101,2034920,89,2126080,10,64768,88,6317881,81,1805828,1,615,0,0,2,2159,3,108185,123,8750947,5,7597,32,20485,91,384391,28,143631,29,625166,9,82792,21,-192059,53,15776,98,79,61902
2017/2018,QLD,4005,12560,12409,1238268122,10902,358824608,10448,373873303,1362,6969208,10068,833665463,9817,248859325,646,3848141,205,2487853,112,2073343,149,6337567,12441,1294655033,636,2158620,3691,5981597,9575,53900538,2063,14366731,2252,64920340,979,10854453,1291,-16207917,4838,1433932,8597,6789,4625687
2017/2018,QLD,4006,15282,15115,1005180798,13072,237170847,12510,250003022,1554,7273876,13287,828270435,12972,216950141,1185,6942891,137,1578021,68,931958,99,3902349,15127,1048527381,944,2965716,3737,2913928,11211,41963559,1947,10752831,1637,41403435,534,5130413,1111,-12347215,7455,2257994,7839,6109,3495149
2017/2018,QLD,4007,9704,9606,1050824661,8352,321637032,7913,336559015,677,3286746,7407,608564273,7121,180748434,459,2678742,208,2560636,67,1413192,112,4796892,9623,1121682522,400,1198448,2801,27405308,7425,69154902,1394,10370397,1685,55041209,656,9980526,1039,-15164087,3955,1174702,6786,5247,3947943
2017/2018,QLD,4008,221,220,14619100,190,3436795,182,3644925,7,22788,190,10769138,184,2496426,14,99394,15,173257,2,9429,1,1205,220,15139091,5,4205,67,26603,177,520001,27,230924,22,449079,10,75585,13,-110320,115,32791,95,85,59737
2017/2018,QLD,4009,83,81,6736074,65,1929886,61,2035927,0,0,61,3678511,53,891717,0,0,2,12501,0,0,0,0,81,6882059,1,385,17,12287,59,145985,3,35239,14,427670,11,69936,3,-18660,28,8176,40,28,23043
2017/2018,QLD,4010,2576,2554,170912977,2237,38760882,2124,41016482,280,1316337,2190,146052140,2150,38821184,162,945729,53,635670,5,34459,20,653613,2558,178010026,159,401586,763,362342,2046,7014783,346,2002543,341,8639006,137,1461581,207,-2226176,1206,355821,1539,1247,761697
2017/2018,QLD,4011,10533,10435,965099356,8931,273518490,8451,286017995,675,3150583,8226,650036513,7979,189850897,507,3040351,273,3293076,66,1010691,122,3765711,10457,1006516552,413,1113687,3298,4628311,8123,40087544,1684,12223433,1664,44961351,638,7346185,1038,-11974526,4301,1296670,7542,5908,4329879
2017/2018,QLD,4012,15051,14938,1013483716,13068,231871951,12429,244547409,1157,5308460,12822,877508359,12538,232227000,876,5370110,414,4659500,105,1193224,204,6621116,14957,1052782509,684,1588856,4953,2242990,11898,38594471,2554,15206073,2064,41977064,655,5107071,1427,-12587657,6900,2010752,9489,7994,5130188
2017/2018,QLD,4013,3154,3133,204409670,2714,45853782,2582,48596181,214,909775,2697,177042043,2636,46106965,197,1097020,81,823110,24,297151,28,1083765,3136,212507278,149,327142,1026,405715,2477,7840557,512,2917058,412,7665261,128,979315,286,-2308185,1503,442277,1867,1547,971020
2017/2018,QLD,4014,7934,7880,492948434,6829,105861386,6453,112390311,447,2021102,6744,441061420,6596,112279588,439,2613112,304,3449724,70,733543,111,2992799,7892,513122858,340,682764,3023,888015,6376,19803524,1411,7948480,1171,21616817,369,2635156,816,-5849827,3696,1086163,4800,4146,2700857
2017/2018,QLD,4017,21997,21837,1292089405,18426,272567859,17229,287412674,999,4043537,18137,1131294712,17713,283433021,1386,8832963,945,10962842,220,2679261,384,11609174,21867,1341673517,762,1324036,7475,2656284,17425,48341423,3905,23190277,3164,57142167,1123,8325814,2062,-16461192,10437,3124961,12520,10713,7171218
2017/2018,QLD,4018,7926,7865,414609290,6617,79498784,6190,84169791,381,1545508,6677,378219321,6551,88886911,520,3094960,373,4294865,59,565498,118,3033928,7865,429160139,355,660885,2587,778730,6124,14400072,1123,5799007,812,13232316,230,1289942,596,-4381805,4141,1235543,3861,3422,2078226
2017/2018,QLD,4019,11300,11191,600458033,9324,119634697,8571,125272879,404,1589934,8886,503027043,8689,121331490,1002,6944260,728,8293865,97,1034165,216,5811159,11209,626820512,379,678648,3608,1301052,8701,25754334,1704,9891884,1571,28563737,648,4599917,939,-6862012,5815,1764439,5357,4765,3108000
2017/2018,QLD,4020,13201,13064,769112898,10656,169324734,9681,175831159,385,1518417,9644,587390156,9331,147969326,964,6385850,894,10665901,171,2360699,349,10837238,13094,803411811,386,723350,4060,1619221,9977,32977208,2034,13831061,2299,48171009,1017,9253337,1300,-10827096,6232,1912419,7233,6262,4542031
2017/2018,QLD,4021,4944,4892,234074551,4055,42189754,3664,44221815,120,445331,4037,204142597,3933,45915260,545,3776291,341,4079524,32,349345,77,1918339,4900,244192199,135,248649,1551,453276,3797,9861677,617,3254005,494,7880051,176,1323233,320,-1957567,2745,846133,1847,1631,1026610
2017/2018,QLD,4022,3422,3384,164073584,2790,30038351,2548,31520810,110,399699,2749,143348747,2687,32446197,316,1915742,275,3304893,18,158856,83,2084892,3389,171017511,96,166072,1068,482522,2599,6917652,381,1780866,284,4948620,108,717866,178,-1324680,1873,575633,1360,1167,772977
2017/2018,QLD,4025,118,118,5126753,96,872139,94,928213,1,320,89,4362246,88,903932,5,23114,6,46094,0,0,2,65324,118,5277697,2,3714,21,4056,90,125332,3,16353,17,468228,10,97367,7,-72221,75,24065,46,40,31928
2017/2018,QLD,4030,11793,11714,856694311,10159,210049716,9683,221021951,1123,5344732,10149,716509149,9932,196555987,805,4966061,228,2783327,82,1357038,117,3848798,11719,891807931,650,1837972,3627,2045117,9136,34770379,2040,12406534,1677,39281430,578,5191244,1111,-11902788,5365,1603531,7414,5839,3743743
2017/2018,QLD,4031,8808,8745,608923215,7566,141700764,7197,149809845,653,2955141,7475,524039483,7308,140440441,498,3101076,239,2700600,66,814633,103,3289277,8755,633647273,453,1167732,2982,1458082,6910,24313884,1729,10046769,1307,26506043,453,3642444,865,-7691398,3811,1139961,5928,4865,3210817
2017/2018,QLD,4032,10849,10756,595228250,8939,121673798,8272,128108037,616,2672743,8725,506036918,8513,123400994,759,4623725,493,5880817,80,948987,213,6127880,10766,618522495,516,1135492,3256,2358811,8150,23099195,1613,8674776,1196,24057498,489,4806536,716,-5800553,5475,1638473,5839,4981,3399262
